id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len
5997950,,http://www.idntimes.com/tita/ingat-anjali-kuch-kuch-hota-hai-ini-fakta-kajol-sekarang-yang-belum-kamu-tahu,https://hype.idntimes.com/entertainment/tita/ingat-anjali-kuch-kuch-hota-hai-ini-fakta-kajol-sekarang-yang-belum-kamu-tahu,"Ingat Anjali ""Kuch Kuch Hota Hai""? Ini Fakta Kajol Sekarang yang Belum Kamu Tahu!","Ingat Anjali ""Kuch Kuch Hota Hai""? Simak 12 Fakta Menarik dari Perempuan Cantik Ini!",35,81,84,1982,2624,695
5747393,,http://www.idntimes.com/azmi/kamu-bisa-langsing-tanpa-lapar-dengan-10-menu-sarapan-simpel-dan-lezat-ini,https://food.idntimes.com/dining-guide/azmi/kamu-bisa-langsing-tanpa-lapar-dengan-10-menu-sarapan-simpel-dan-lezat-ini,Kamu Bisa Langsing Tanpa Kelaparan dengan 10 Menu Sarapan Simpel dan Lezat Ini!,Sarapan Sederhana Ini Bisa Membuatmu Turun 5 Kilo dalam 1 Bulan,60,79,63,720,4271,3561
5685183,,http://www.applenesian.com/2016/02/ios-9-3-beta-4-hadirkan-perbaikan-bug-tanggal-1-januari-1970.html,http://www.applenesian.com/2016/02/ios-9-3-beta-4-hadirkan-perbaikan-bug-tanggal-1-januari-1970.html,iOS 9.3 Beta 4 Hadirkan Perbaikan Bug Tanggal'1 Januari 1970',iOS 9.3 Beta 4 Hadirkan Perbaikan Bug Tanggal '1 Januari 1970',1,61,62,1,1851,1852
5680262,,http://encyclo.co.id/blog/Promo-Fashion-Februari-Hi-Ladies-Diskon-Seru-Hingga-70/,,Promo Fashion Februari : Hi Ladies! Diskon Seru Hingga 70%,Blog,56,58,4,17,1094,1083
5765574,,http://behijab.com/blog/jenis-jenis-jilab-yang-paling-booming/,,Jenis â Jenis Jilab Yang Paling Booming,Jenis â Jenis Jilbab Yang Paling Booming â Blog Behijab,16,39,55,708,3152,3245
5766120,,http://blog.hadiah.me/pilihan-ide-outfit-liburan-di-pantai/,https://www.hadiah.me/blog/pilihan-ide-outfit-liburan-di-pantai/,Pilihan Ide Outfit Liburan di Pantai,Ide Outfit Liburan di Pantai,8,36,28,2,1378,1380
5680284,,http://blog.hadiah.me/resep-soto-madura-mudah-dan-enak/,https://www.hadiah.me/blog/resep-soto-madura-mudah-dan-enak/,Resep Soto Madura Mudah dan Enak,Resep Soto Madura Enak dan Nikmat,9,32,33,1223,2103,882
5752604,,https://chromplex.com/sekarang-proyek-web-super-cepat-google-diaktifkan-untuk-semua-situs-wordpress/,,Sekarang Proyek WebSuper Cepat Google Diaktifkan untuk Semua Situs WordPress,Sekarang Proyek Web Super Cepat Google Diaktifkan untuk Semua Situs WordPress,1,76,77,241,1413,1177
5770370,,http://id.theasianparent.com/5-alasan-berkarir-dapat-membuat-kita-jadi-orangtua-yang-lebih-baik/,https://id.theasianparent.com/5-alasan-berkarir-dapat-membuat-kita-jadi-orangtua-yang-lebih-baik/,5 Alasan Mengapa Pekerjaan Membuat Kita Jadi Orangtua yang Lebih Baik,5 Alasan Karir Menjadikan Kita Orangtua yang Lebih Baik,25,69,55,2992,3362,370
5776010,,http://www.unj.ac.id/halaman/informasi/detail_berita_164,,DISKUSI REVITALISASI KELEMBAGAAN ALPTKI,Detail Berita,36,39,13,256,1676,1932
5776062,,http://www.upnvj.ac.id/id/berita/2016/01/pelantikan-dan-sertijab-dekan-fakultas-ekonomi-dan-bisnis-upn-veteran-jakarta.html,,"PELANTIKAN DAN SERTIJAB DEKAN FAKULTAS EKONOMI DAN BISNIS UPN ""VETERAN"" JAKARTA","PELANTIKAN DAN SERTIJAB DEKAN FAKULTAS EKONOMI DAN BISNIS UPN ""VETERAN"" JAKARTAÂ -Â UPN Veteran Jakarta",22,79,101,3,1266,1265
6641849,,http://www.ugm.ac.id/id/berita/11627-mahasiswa.ugm.juara.2.kompetisi.rsm.star.case.di.belanda,http://www.ugm.ac.id/id/berita/11627-mahasiswa.ugm.juara.2.kompetisi.rsm.star.case.di.belanda,Mahasiswa UGM Juara 2 Kompetisi RSM STAR Case di Belanda,Universitas Gadjah Mada: Mahasiswa UGM Juara 2 Kompetisi RSM STAR Case di Belanda,25,56,81,61,3728,3667
6656503,,http://www.uinsgd.ac.id/front/detail/berita/motif-utama-konflik-itu-kekuasaan,,Motif Utama Konflik itu Kekuasaan,WELCOME TO UIN SUNAN GUNUNG DJATI BANDUNG,37,33,41,86,3621,3545
