id,source_id,babe_url,lib_url,babe_title,lib_title,title_distance,babe_title_len,lib_title_len,content_distance,babe_content_len,lib_content_len,,
4204251,,http://gigsplay.com/sembojan-sebuah-entitas-pendek-dari-tigapagi-untuk-peringati-g30s/,http://gigsplay.com/sembojan-sebuah-entitas-pendek-dari-tigapagi-untuk-peringati-g30s/,"Sembojan, Sebuah Entitas Pendek dari Tigapagi Untuk Peringati G30S","Sembojan, Sebuah Entitas Pendek dari Tigapagi Untuk Peringati G30S",0,66,66,98,1307,1405,,
4544234,,http://nasional.sindonews.com/read/1062179/12/publik-perlu-curigai-motif-menteri-sudirman-said-ke-mkd-1447736072,http://nasional.sindonews.com/read/1062179/12/publik-perlu-curigai-motif-menteri-sudirman-said-ke-mkd-1447736072,Publik Perlu Curigai Motif Menteri Sudirman Said ke MKD,Publik Perlu Curigai Motif Menteri Sudirman Said ke MKD,0,55,55,95,1646,1663,,
4544237,,http://ngonoo.com/2015/11/121234/keren-petugas-pemadam-kebakaran-dubai-dilengkapi-dengan-jetpack/,https://ngonoo.com/2015/11/121234/keren-petugas-pemadam-kebakaran-dubai-dilengkapi-dengan-jetpack,"Keren, Petugas Pemadam Kebakaran Dubai Dilengkapi Dengan Jetpack","Keren, Petugas Pemadam Kebakaran Dubai Dilengkapi Dengan Jetpack",0,64,64,116,2510,2400,,
4534193,,http://ngonoo.com/2015/11/095108/8-insiden-penuh-duka-yang-pernah-terjadi-dalam-dunia-sepak-bola/,https://ngonoo.com/2015/11/095108/8-insiden-penuh-duka-yang-pernah-terjadi-dalam-dunia-sepak-bola,8 Insiden Penuh Duka yang Pernah Terjadi Dalam Dunia Sepak Bola,8 Insiden Penuh Duka yang Pernah Terjadi Dalam Dunia Sepak Bola,0,63,63,293,4101,3812,,
4548045,,http://ngonoo.com/2015/11/181853/ini-lho-8-tokoh-emosi-yang-hilang-dari-film-inside-out/,https://ngonoo.com/2015/11/181853/ini-lho-8-tokoh-emosi-yang-hilang-dari-film-inside-out,Ini Dia 8 Tokoh Emosi yang Hilang dari Film Inside Out,Ini Dia 8 Tokoh Emosi yang Hilang dari Film Inside Out,0,54,54,105,2744,2647,,
4535276,,http://ngonoo.com/2015/11/121507/4-fakta-menarik-tim-amatir-hingga-selebrasi-unik-ps-tni-usai-kalahkan-surabaya-united-kemarin/,https://ngonoo.com/2015/11/121507/4-fakta-menarik-tim-amatir-hingga-selebrasi-unik-ps-tni-usai-kalahkan-surabaya-united-kemarin,4 Fakta Menarik Tim‘Amatir’ Hingga Selebrasi Unik PS TNI Usai Kalahkan Surabaya United Kemarin,4 Fakta Menarik Tim 'Amatir' Hingga Selebrasi Unik PS TNI Usai Kalahkan Surabaya United Kemarin,3,94,95,181,1723,1546,,
4549710,,http://ngonoo.com/2015/11/214012/wow-mobil-pemburu-hantu-ghostbusters-ini-menghabiskan-biaya-sebesar-27-miliar/,https://ngonoo.com/2015/11/214012/wow-mobil-pemburu-hantu-ghostbusters-ini-menghabiskan-biaya-sebesar-27-miliar,"Wow! Mobil Pemburu Hantu“Ghostbusters” Ini Menghabiskan Biaya Sebesar 2,7 Miliar","Wow! Mobil Pemburu Hantu ""Ghostbusters"" Ini Menghabiskan Biaya Sebesar 2,7 Miliar",3,80,81,72,1735,1663,,
5244179,,http://www.oprekandroid.com/yuk-cari-tahu-fitur-fitur-canggih-smartwatch-huawei-w1.html,http://oprekandroid.com/yuk-cari-tahu-fitur-fitur-canggih-smartwatch-huawei-w1.html,"Yuk, Cari Tahu Fitur-Fitur Canggih Smartwatch Huawei W1","Yuk, Cari Tahu Fitur-Fitur Canggih Smartwatch Huawei W1",0,55,55,379,2708,2896,,
5207377,,http://carisinyal.com/hp-samsung-tahan-air-terbaik/,http://carisinyal.com/hp-samsung-tahan-air-terbaik/,10 HP Samsung Tahan Air Terbaik Tahun 2016,10 HP Samsung Tahan Air Terbaik Tahun 2016,0,42,42,324,7198,7013,,
4534435,,http://www.kabarandroid.com/2015/11/cara-pasang-dua-bbm-di-android-terbaru.html,http://www.kabarandroid.com/2015/11/cara-pasang-dua-bbm-di-android-terbaru.html,Cara Mudah Pasang Dua BBM di Android Terbaru,Cara Mudah Pasang Dua BBM di Android Terbaru,0,44,44,189,1927,1742,,
